customer_id,end_date,txn_date,transactions,running_balance,min_balance,max_balance,avg_balance,monthly_balance
6,2020-02-29,2020-02-27,-63,-52,-552,2197,654.5882,-52
6,2020-03-31,2020-03-01,-500,-552,-552,2197,654.5882,340
6,2020-03-31,2020-03-03,582,30,-552,2197,654.5882,340
6,2020-03-31,2020-03-04,250,280,-552,2197,654.5882,340
6,2020-03-31,2020-03-10,619,899,-552,2197,654.5882,340
6,2020-03-31,2020-03-15,763,1662,-552,2197,654.5882,340
6,2020-03-31,2020-03-16,535,2197,-552,2197,654.5882,340
6,2020-03-31,2020-03-23,-968,1229,-552,2197,654.5882,340
6,2020-03-31,2020-03-26,-484,745,-552,2197,654.5882,340
6,2020-03-31,2020-03-31,-405,340,-552,2197,654.5882,340
6,2020-04-30,NULL,0,340,-552,2197,654.5882,340
7,2020-01-31,2020-01-20,964,964,887,3539,2268.6923,964
7,2020-02-29,2020-02-03,-77,887,887,3539,2268.6923,3173
7,2020-02-29,2020-02-06,688,1575,887,3539,2268.6923,3173
7,2020-02-29,2020-02-11,93,1668,887,3539,2268.6923,3173
7,2020-02-29,2020-02-22,617,2285,887,3539,2268.6923,3173
7,2020-02-29,2020-02-29,888,3173,887,3539,2268.6923,3173
7,2020-03-31,2020-03-03,-328,2845,887,3539,2268.6923,2533
7,2020-03-31,2020-03-04,-29,2816,887,3539,2268.6923,2533
7,2020-03-31,2020-03-10,723,3539,887,3539,2268.6923,2533
7,2020-03-31,2020-03-16,-962,2577,887,3539,2268.6923,2533
7,2020-03-31,2020-03-22,-44,2533,887,3539,2268.6923,2533
7,2020-04-30,2020-04-04,-525,2008,887,3539,2268.6923,2623
7,2020-04-30,2020-04-17,615,2623,887,3539,2268.6923,2623
8,2020-01-31,2020-01-15,207,207,-1029,1363,173.7000,587
8,2020-01-31,2020-01-28,-566,-359,-1029,1363,173.7000,587
8,2020-01-31,2020-01-30,946,587,-1029,1363,173.7000,587
8,2020-02-29,2020-02-06,-180,407,-1029,1363,173.7000,407
8,2020-03-31,2020-03-05,956,1363,-1029,1363,173.7000,-57
8,2020-03-31,2020-03-27,-775,588,-1029,1363,173.7000,-57
8,2020-03-31,2020-03-28,-178,410,-1029,1363,173.7000,-57
8,2020-03-31,2020-03-30,-467,-57,-1029,1363,173.7000,-57
8,2020-04-30,2020-04-11,-323,-380,-1029,1363,173.7000,-1029
8,2020-04-30,2020-04-13,-649,-1029,-1029,1363,173.7000,-1029
9,2020-01-31,2020-01-21,669,669,-91,2030,1021.7000,849
9,2020-01-31,2020-01-25,180,849,-91,2030,1021.7000,849
9,2020-02-29,2020-02-15,-195,654,-91,2030,1021.7000,654
9,2020-03-31,2020-03-04,381,1035,-91,2030,1021.7000,1584
9,2020-03-31,2020-03-05,982,2017,-91,2030,1021.7000,1584
9,2020-03-31,2020-03-10,13,2030,-91,2030,1021.7000,1584
9,2020-03-31,2020-03-16,-446,1584,-91,2030,1021.7000,1584
9,2020-04-30,2020-04-09,-976,608,-91,2030,1021.7000,862
9,2020-04-30,2020-04-10,-699,-91,-91,2030,1021.7000,862
9,2020-04-30,2020-04-16,953,862,-91,2030,1021.7000,862
10,2020-01-31,2020-01-13,556,556,-5090,556,-2164.1875,-1622
10,2020-01-31,2020-01-15,-775,-219,-5090,556,-2164.1875,-1622
10,2020-01-31,2020-01-18,-1175,-1394,-5090,556,-2164.1875,-1622
10,2020-01-31,2020-01-24,-746,-2140,-5090,556,-2164.1875,-1622
10,2020-01-31,2020-01-26,518,-1622,-5090,556,-2164.1875,-1622
10,2020-02-29,2020-02-04,-830,-2452,-5090,556,-2164.1875,-1342
10,2020-02-29,2020-02-05,925,-1527,-5090,556,-2164.1875,-1342
10,2020-02-29,2020-02-08,-214,-1741,-5090,556,-2164.1875,-1342
10,2020-02-29,2020-02-13,399,-1342,-5090,556,-2164.1875,-1342
10,2020-03-31,2020-03-03,-983,-2325,-5090,556,-2164.1875,-2753
10,2020-03-31,2020-03-04,-282,-2607,-5090,556,-2164.1875,-2753
10,2020-03-31,2020-03-26,-146,-2753,-5090,556,-2164.1875,-2753
10,2020-04-30,2020-04-04,-328,-3081,-5090,556,-2164.1875,-5090
10,2020-04-30,2020-04-06,307,-2774,-5090,556,-2164.1875,-5090
10,2020-04-30,2020-04-09,-1342,-4116,-5090,556,-2164.1875,-5090
10,2020-04-30,2020-04-10,-974,-5090,-5090,556,-2164.1875,-5090
11,2020-01-31,2020-01-19,60,60,-2529,60,-1914.0833,-1744
11,2020-01-31,2020-01-20,-1804,-1744,-2529,60,-1914.0833,-1744
11,2020-02-29,2020-02-04,-350,-2094,-2529,60,-1914.0833,-2469
11,2020-02-29,2020-02-25,-375,-2469,-2529,60,-1914.0833,-2469
11,2020-03-31,2020-03-07,320,-2149,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-15,549,-1600,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-19,-490,-2090,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-20,-439,-2529,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-23,178,-2351,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-24,852,-1499,-2529,60,-1914.0833,-2088
11,2020-03-31,2020-03-31,-589,-2088,-2529,60,-1914.0833,-2088
11,2020-04-30,2020-04-16,-328,-2416,-2529,60,-1914.0833,-2416
12,2020-01-31,2020-01-13,202,202,-647,295,-14.5000,92
12,2020-01-31,2020-01-28,-110,92,-647,295,-14.5000,92
12,2020-02-29,NULL,0,92,-647,295,-14.5000,92
12,2020-03-31,2020-03-18,-739,-647,-647,295,-14.5000,295
12,2020-03-31,2020-03-23,942,295,-647,295,-14.5000,295
12,2020-04-30,NULL,0,295,-647,295,-14.5000,295
13,2020-01-31,2020-01-02,566,566,379,1444,869.6667,780
13,2020-01-31,2020-01-04,-87,479,379,1444,869.6667,780
13,2020-01-31,2020-01-08,107,586,379,1444,869.6667,780
13,2020-01-31,2020-01-22,858,1444,379,1444,869.6667,780
13,2020-01-31,2020-01-28,-664,780,379,1444,869.6667,780
13,2020-02-29,2020-02-04,55,835,379,1444,869.6667,1279
13,2020-02-29,2020-02-12,-456,379,379,1444,869.6667,1279
13,2020-02-29,2020-02-13,900,1279,379,1444,869.6667,1279
13,2020-03-31,2020-03-09,-543,736,379,1444,869.6667,1405
13,2020-03-31,2020-03-13,-95,641,379,1444,869.6667,1405
13,2020-03-31,2020-03-14,665,1306,379,1444,869.6667,1405
13,2020-03-31,2020-03-16,99,1405,379,1444,869.6667,1405
13,2020-04-30,NULL,0,1405,379,1444,869.6667,1405
14,2020-01-31,2020-01-25,205,205,205,989,671.6667,205
14,2020-02-29,2020-02-22,616,821,205,989,671.6667,821
14,2020-03-31,NULL,0,821,205,989,671.6667,821
14,2020-04-30,2020-04-05,168,989,205,989,671.6667,989
15,2020-01-31,2020-01-25,379,379,379,1102,740.5000,379
15,2020-02-29,NULL,0,379,379,1102,740.5000,379
15,2020-03-31,NULL,0,NULL,379,1102,740.5000,379
15,2020-04-30,2020-04-02,723,1102,379,1102,740.5000,1102
16,2020-01-31,2020-01-13,421,421,-4284,421,-1985.2857,-1341
16,2020-01-31,2020-01-17,-1343,-922,-4284,421,-1985.2857,-1341
16,2020-01-31,2020-01-20,-159,-1081,-4284,421,-1985.2857,-1341
16,2020-01-31,2020-01-22,-491,-1572,-4284,421,-1985.2857,-1341
16,2020-01-31,2020-01-25,-160,-1732,-4284,421,-1985.2857,-1341
16,2020-01-31,2020-01-30,391,-1341,-4284,421,-1985.2857,-1341
16,2020-02-29,2020-02-02,919,-422,-4284,421,-1985.2857,-2893
16,2020-02-29,2020-02-09,-429,-851,-4284,421,-1985.2857,-2893
16,2020-02-29,2020-02-13,-1527,-2378,-4284,421,-1985.2857,-2893
16,2020-02-29,2020-02-26,-515,-2893,-4284,421,-1985.2857,-2893
16,2020-03-31,2020-03-01,-314,-3207,-4284,421,-1985.2857,-4284
16,2020-03-31,2020-03-13,-903,-4110,-4284,421,-1985.2857,-4284
16,2020-03-31,2020-03-23,-174,-4284,-4284,421,-1985.2857,-4284
16,2020-04-30,2020-04-11,862,-3422,-4284,421,-1985.2857,-3422
17,2020-01-31,2020-01-19,465,465,-892,465,-292.3333,465
17,2020-02-29,2020-02-09,-915,-450,-892,465,-292.3333,-892
17,2020-02-29,2020-02-28,-442,-892,-892,465,-292.3333,-892
17,2020-03-31,NULL,0,-892,-892,465,-292.3333,-892
17,2020-04-30,NULL,0,NULL,-892,465,-292.3333,-892
18,2020-01-31,2020-01-17,757,757,-1216,757,-539.7500,757
18,2020-02-29,2020-02-06,-865,-108,-1216,757,-539.7500,-424
18,2020-02-29,2020-02-13,-316,-424,-1216,757,-539.7500,-424
18,2020-03-31,2020-03-08,-588,-1012,-1216,757,-539.7500,-842
18,2020-03-31,2020-03-12,354,-658,-1216,757,-539.7500,-842
18,2020-03-31,2020-03-17,-558,-1216,-1216,757,-539.7500,-842
18,2020-03-31,2020-03-25,374,-842,-1216,757,-539.7500,-842
18,2020-04-30,2020-04-03,27,-815,-1216,757,-539.7500,-815
19,2020-01-31,2020-01-17,47,47,-301,258,-41.4286,-12
19,2020-01-31,2020-01-22,-59,-12,-301,258,-41.4286,-12
19,2020-02-29,2020-02-06,-61,-73,-301,258,-41.4286,-251
19,2020-02-29,2020-02-21,-178,-251,-301,258,-41.4286,-251
19,2020-03-31,2020-03-03,509,258,-301,258,-41.4286,-301
19,2020-03-31,2020-03-10,-559,-301,-301,258,-41.4286,-301
19,2020-04-30,2020-04-07,343,42,-301,258,-41.4286,42
20,2020-01-31,2020-01-18,868,868,465,1017,783.2857,465
20,2020-01-31,2020-01-28,-403,465,465,1017,783.2857,465
20,2020-02-29,2020-02-06,512,977,465,1017,783.2857,519
20,2020-02-29,2020-02-13,40,1017,465,1017,783.2857,519
20,2020-02-29,2020-02-15,-156,861,465,1017,783.2857,519
20,2020-02-29,2020-02-24,-342,519,465,1017,783.2857,519
20,2020-03-31,2020-03-10,257,776,465,1017,783.2857,776
20,2020-04-30,NULL,0,776,465,1017,783.2857,776
21,2020-01-31,2020-01-12,326,326,-3253,326,-1038.1875,-204
21,2020-01-31,2020-01-15,-497,-171,-3253,326,-1038.1875,-204
21,2020-01-31,2020-01-20,-445,-616,-3253,326,-1038.1875,-204
21,2020-01-31,2020-01-27,412,-204,-3253,326,-1038.1875,-204
21,2020-02-29,2020-02-07,-637,-841,-3253,326,-1038.1875,-764
21,2020-02-29,2020-02-18,-348,-1189,-3253,326,-1038.1875,-764
21,2020-02-29,2020-02-26,694,-495,-3253,326,-1038.1875,-764
21,2020-02-29,2020-02-28,-269,-764,-3253,326,-1038.1875,-764
21,2020-03-31,2020-03-03,-633,-1397,-3253,326,-1038.1875,-1874
21,2020-03-31,2020-03-06,713,-684,-3253,326,-1038.1875,-1874
21,2020-03-31,2020-03-17,103,-581,-3253,326,-1038.1875,-1874
21,2020-03-31,2020-03-22,-406,-987,-3253,326,-1038.1875,-1874
21,2020-03-31,2020-03-23,-489,-1476,-3253,326,-1038.1875,-1874
21,2020-03-31,2020-03-30,-398,-1874,-3253,326,-1038.1875,-1874
21,2020-04-30,2020-04-03,-531,-2405,-3253,326,-1038.1875,-3253
21,2020-04-30,2020-04-04,-848,-3253,-3253,326,-1038.1875,-3253
22,2020-01-31,2020-01-19,794,794,-1444,794,-235.5263,235
22,2020-01-31,2020-01-28,-559,235,-1444,794,-235.5263,235
22,2020-02-29,2020-02-02,490,725,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-04,-544,181,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-09,-842,-661,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-11,-783,-1444,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-24,272,-1172,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-26,863,-309,-1444,794,-235.5263,-1039
22,2020-02-29,2020-02-29,-730,-1039,-1444,794,-235.5263,-1039
22,2020-03-31,2020-03-05,532,-507,-1444,794,-235.5263,-149
22,2020-03-31,2020-03-16,865,358,-1444,794,-235.5263,-149
22,2020-03-31,2020-03-17,-370,-12,-1444,794,-235.5263,-149
22,2020-03-31,2020-03-27,-394,-406,-1444,794,-235.5263,-149
22,2020-03-31,2020-03-29,801,395,-1444,794,-235.5263,-149
22,2020-03-31,2020-03-30,-544,-149,-1444,794,-235.5263,-149
22,2020-04-30,2020-04-05,-80,-229,-1444,794,-235.5263,-1358
22,2020-04-30,2020-04-09,728,499,-1444,794,-235.5263,-1358
22,2020-04-30,2020-04-14,-875,-376,-1444,794,-235.5263,-1358
22,2020-04-30,2020-04-17,-982,-1358,-1444,794,-235.5263,-1358
23,2020-01-31,2020-01-21,334,334,-678,520,-33.3333,94
23,2020-01-31,2020-01-22,-240,94,-678,520,-33.3333,94
23,2020-02-29,2020-02-12,-408,-314,-678,520,-33.3333,-314
23,2020-03-31,2020-03-08,834,520,-678,520,-33.3333,-156
23,2020-03-31,2020-03-31,-676,-156,-678,520,-33.3333,-156
23,2020-04-30,2020-04-08,-522,-678,-678,520,-33.3333,-678
24,2020-01-31,2020-01-26,615,615,-39,813,364.7500,615
24,2020-02-29,2020-02-07,-505,110,-39,813,364.7500,813
24,2020-02-29,2020-02-09,-149,-39,-39,813,364.7500,813
24,2020-02-29,2020-02-12,222,183,-39,813,364.7500,813
24,2020-02-29,2020-02-17,275,458,-39,813,364.7500,813
24,2020-02-29,2020-02-29,355,813,-39,813,364.7500,813
24,2020-03-31,2020-03-06,-289,524,-39,813,364.7500,254
24,2020-03-31,2020-03-09,-270,254,-39,813,364.7500,254
24,2020-04-30,NULL,0,254,-39,813,364.7500,254
25,2020-01-31,2020-01-28,174,174,-1220,433,-282.6364,174
25,2020-02-29,2020-02-08,259,433,-1220,433,-282.6364,-400
25,2020-02-29,2020-02-13,-833,-400,-1220,433,-282.6364,-400
25,2020-03-31,2020-03-05,430,30,-1220,433,-282.6364,-1220
25,2020-03-31,2020-03-09,-123,-93,-1220,433,-282.6364,-1220
25,2020-03-31,2020-03-18,-629,-722,-1220,433,-282.6364,-1220
25,2020-03-31,2020-03-19,185,-537,-1220,433,-282.6364,-1220
25,2020-03-31,2020-03-21,-683,-1220,-1220,433,-282.6364,-1220
25,2020-04-30,2020-04-09,769,-451,-1220,433,-282.6364,-304
25,2020-04-30,2020-04-17,432,-19,-1220,433,-282.6364,-304
25,2020-04-30,2020-04-24,-285,-304,-1220,433,-282.6364,-304
26,2020-01-31,2020-01-17,878,878,-1870,878,-251.5000,638
26,2020-01-31,2020-01-26,-240,638,-1870,878,-251.5000,638
26,2020-02-29,2020-02-06,-352,286,-1870,878,-251.5000,-31
26,2020-02-29,2020-02-27,-317,-31,-1870,878,-251.5000,-31
26,2020-03-31,2020-03-06,192,161,-1870,878,-251.5000,-622
26,2020-03-31,2020-03-10,-381,-220,-1870,878,-251.5000,-622
26,2020-03-31,2020-03-11,-437,-657,-1870,878,-251.5000,-622
26,2020-03-31,2020-03-13,35,-622,-1870,878,-251.5000,-622
26,2020-04-30,2020-04-04,-456,-1078,-1870,878,-251.5000,-1870
26,2020-04-30,2020-04-13,-792,-1870,-1870,878,-251.5000,-1870
27,2020-01-31,2020-01-01,809,809,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-02,-604,205,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-05,161,366,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-08,134,500,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-16,-263,237,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-21,-843,-606,-3116,809,-1351.6000,-1189
27,2020-01-31,2020-01-25,-583,-1189,-3116,809,-1351.6000,-1189
27,2020-02-29,2020-02-02,-666,-1855,-3116,809,-1351.6000,-713
27,2020-02-29,2020-02-07,734,-1121,-3116,809,-1351.6000,-713
27,2020-02-29,2020-02-14,-690,-1811,-3116,809,-1351.6000,-713
27,2020-02-29,2020-02-16,-505,-2316,-3116,809,-1351.6000,-713
27,2020-02-29,2020-02-25,692,-1624,-3116,809,-1351.6000,-713
27,2020-02-29,2020-02-28,911,-713,-3116,809,-1351.6000,-713
27,2020-03-31,2020-03-03,-769,-1482,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-11,-992,-2474,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-12,-175,-2649,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-13,71,-2578,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-14,-490,-3068,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-16,521,-2547,-3116,809,-1351.6000,-3116
27,2020-03-31,2020-03-25,-569,-3116,-3116,809,-1351.6000,-3116
27,2020-04-30,NULL,0,-3116,-3116,809,-1351.6000,-3116
28,2020-01-31,2020-01-20,451,451,-1228,451,-424.8750,451
28,2020-02-29,2020-02-02,-387,64,-1228,451,-424.8750,-818
28,2020-02-29,2020-02-12,-882,-818,-1228,451,-424.8750,-818
28,2020-03-31,2020-03-16,274,-544,-1228,451,-424.8750,-1228
28,2020-03-31,2020-03-17,-501,-1045,-1228,451,-424.8750,-1228
28,2020-03-31,2020-03-25,-183,-1228,-1228,451,-424.8750,-1228
28,2020-04-30,2020-04-06,677,-551,-1228,451,-424.8750,272
28,2020-04-30,2020-04-17,823,272,-1228,451,-424.8750,272
29,2020-01-31,2020-01-19,217,217,-910,978,76.0000,-138
29,2020-01-31,2020-01-25,-522,-305,-910,978,76.0000,-138
29,2020-01-31,2020-01-28,-360,-665,-910,978,76.0000,-138
29,2020-01-31,2020-01-31,527,-138,-910,978,76.0000,-138
29,2020-02-29,2020-02-09,937,799,-910,978,76.0000,-76
29,2020-02-29,2020-02-13,-509,290,-910,978,76.0000,-76
29,2020-02-29,2020-02-15,-366,-76,-910,978,76.0000,-76
29,2020-03-31,2020-03-03,-834,-910,-910,978,76.0000,831
29,2020-03-31,2020-03-07,606,-304,-910,978,76.0000,831
29,2020-03-31,2020-03-16,-1,-305,-910,978,76.0000,831
29,2020-03-31,2020-03-20,335,30,-910,978,76.0000,831
29,2020-03-31,2020-03-24,948,978,-910,978,76.0000,831
29,2020-03-31,2020-03-25,-147,831,-910,978,76.0000,831
29,2020-04-30,2020-04-10,118,949,-910,978,76.0000,-548
29,2020-04-30,2020-04-16,-576,373,-910,978,76.0000,-548
29,2020-04-30,2020-04-17,-921,-548,-910,978,76.0000,-548
30,2020-01-31,2020-01-26,33,33,-431,508,17.7500,33
30,2020-02-29,2020-02-28,-464,-431,-431,508,17.7500,-431
30,2020-03-31,NULL,0,-431,-431,508,17.7500,-431
30,2020-04-30,2020-04-01,392,-39,-431,508,17.7500,508
30,2020-04-30,2020-04-24,547,508,-431,508,17.7500,508
31,2020-01-31,2020-01-06,83,83,-1093,83,-328.7500,83
31,2020-02-29,NULL,0,83,-1093,83,-328.7500,83
31,2020-03-31,2020-03-06,-247,-164,-1093,83,-328.7500,-141
31,2020-03-31,2020-03-18,-929,-1093,-1093,83,-328.7500,-141
31,2020-03-31,2020-03-24,952,-141,-1093,83,-328.7500,-141
31,2020-04-30,NULL,0,-141,-1093,83,-328.7500,-141
32,2020-01-31,2020-01-12,812,812,-1001,1083,74.8333,-89
32,2020-01-31,2020-01-15,-352,460,-1001,1083,74.8333,-89
32,2020-01-31,2020-01-19,-527,-67,-1001,1083,74.8333,-89
32,2020-01-31,2020-01-28,97,30,-1001,1083,74.8333,-89
32,2020-01-31,2020-01-29,-119,-89,-1001,1083,74.8333,-89
32,2020-02-29,2020-02-09,957,868,-1001,1083,74.8333,376
32,2020-02-29,2020-02-12,215,1083,-1001,1083,74.8333,376
32,2020-02-29,2020-02-24,-707,376,-1001,1083,74.8333,376
32,2020-03-31,2020-03-10,-483,-107,-1001,1083,74.8333,-843
32,2020-03-31,2020-03-15,-517,-624,-1001,1083,74.8333,-843
32,2020-03-31,2020-03-16,-219,-843,-1001,1083,74.8333,-843
32,2020-04-30,2020-04-07,-158,-1001,-1001,1083,74.8333,-1001
33,2020-01-31,2020-01-24,473,473,-679,1225,303.5882,473
33,2020-02-29,2020-02-05,-321,152,-679,1225,303.5882,-116
33,2020-02-29,2020-02-08,176,328,-679,1225,303.5882,-116
33,2020-02-29,2020-02-14,-778,-450,-679,1225,303.5882,-116
33,2020-02-29,2020-02-26,334,-116,-679,1225,303.5882,-116
33,2020-03-31,2020-03-01,-563,-679,-679,1225,303.5882,1225
33,2020-03-31,2020-03-03,260,-419,-679,1225,303.5882,1225
33,2020-03-31,2020-03-08,-63,-482,-679,1225,303.5882,1225
33,2020-03-31,2020-03-15,454,-28,-679,1225,303.5882,1225
33,2020-03-31,2020-03-18,732,704,-679,1225,303.5882,1225
33,2020-03-31,2020-03-26,-351,353,-679,1225,303.5882,1225
33,2020-03-31,2020-03-29,872,1225,-679,1225,303.5882,1225
33,2020-04-30,2020-04-01,-375,850,-679,1225,303.5882,989
33,2020-04-30,2020-04-08,-559,291,-679,1225,303.5882,989
33,2020-04-30,2020-04-09,602,893,-679,1225,303.5882,989
33,2020-04-30,2020-04-18,184,1077,-679,1225,303.5882,989
33,2020-04-30,2020-04-22,-88,989,-679,1225,303.5882,989
34,2020-01-31,2020-01-30,976,976,-512,976,97.0000,976
34,2020-02-29,2020-02-01,-396,580,-512,976,97.0000,-347
34,2020-02-29,2020-02-13,-510,70,-512,976,97.0000,-347
34,2020-02-29,2020-02-26,-417,-347,-512,976,97.0000,-347
34,2020-03-31,2020-03-05,-165,-512,-512,976,97.0000,-185
34,2020-03-31,2020-03-06,327,-185,-512,976,97.0000,-185
34,2020-04-30,NULL,0,-185,-512,976,97.0000,-185
35,2020-01-31,2020-01-17,936,936,-2000,936,-419.0909,507
35,2020-01-31,2020-01-19,-159,777,-2000,936,-419.0909,507
35,2020-01-31,2020-01-25,69,846,-2000,936,-419.0909,507
35,2020-01-31,2020-01-26,-339,507,-2000,936,-419.0909,507
35,2020-02-29,2020-02-03,-733,-226,-2000,936,-419.0909,-821
35,2020-02-29,2020-02-06,-595,-821,-2000,936,-419.0909,-821
35,2020-03-31,2020-03-01,-473,-1294,-2000,936,-419.0909,-1163
35,2020-03-31,2020-03-13,-706,-2000,-2000,936,-419.0909,-1163
35,2020-03-31,2020-03-18,664,-1336,-2000,936,-419.0909,-1163
35,2020-03-31,2020-03-20,500,-836,-2000,936,-419.0909,-1163
35,2020-03-31,2020-03-30,-327,-1163,-2000,936,-419.0909,-1163
35,2020-04-30,NULL,0,-1163,-2000,936,-419.0909,-1163
36,2020-01-31,2020-01-30,149,149,96,1601,657.5000,149
36,2020-02-29,2020-02-09,990,1139,96,1601,657.5000,290
36,2020-02-29,2020-02-12,-849,290,96,1601,657.5000,290
36,2020-03-31,2020-03-16,-194,96,96,1601,657.5000,1041
36,2020-03-31,2020-03-19,421,517,96,1601,657.5000,1041
36,2020-03-31,2020-03-28,524,1041,96,1601,657.5000,1041
36,2020-04-30,2020-04-22,560,1601,96,1601,657.5000,427
36,2020-04-30,2020-04-28,-1174,427,96,1601,657.5000,427
37,2020-01-31,2020-01-29,946,946,-1590,1739,-76.3000,85
37,2020-01-31,2020-01-30,-861,85,-1590,1739,-76.3000,85
37,2020-02-29,2020-02-03,-331,-246,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-06,544,298,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-08,-922,-624,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-11,630,6,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-15,356,362,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-17,666,1028,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-20,711,1739,-1590,1739,-76.3000,902
37,2020-02-29,2020-02-28,-837,902,-1590,1739,-76.3000,902
37,2020-03-31,2020-03-01,-54,848,-1590,1739,-76.3000,-1069
37,2020-03-31,2020-03-12,-360,488,-1590,1739,-76.3000,-1069
37,2020-03-31,2020-03-23,-351,137,-1590,1739,-76.3000,-1069
37,2020-03-31,2020-03-30,-1206,-1069,-1590,1739,-76.3000,-1069
37,2020-04-30,2020-04-12,-80,-1149,-1590,1739,-76.3000,-959
37,2020-04-30,2020-04-14,-441,-1590,-1590,1739,-76.3000,-959
37,2020-04-30,2020-04-17,190,-1400,-1590,1739,-76.3000,-959
37,2020-04-30,2020-04-24,371,-1029,-1590,1739,-76.3000,-959
37,2020-04-30,2020-04-25,730,-299,-1590,1739,-76.3000,-959
37,2020-04-30,2020-04-26,-660,-959,-1590,1739,-76.3000,-959
38,2020-01-31,2020-01-21,339,339,-1295,842,-362.9375,367
38,2020-01-31,2020-01-27,-700,-361,-1295,842,-362.9375,367
38,2020-01-31,2020-01-30,728,367,-1295,842,-362.9375,367
38,2020-02-29,2020-02-11,475,842,-1295,842,-362.9375,-465
38,2020-02-29,2020-02-14,-811,31,-1295,842,-362.9375,-465
38,2020-02-29,2020-02-21,-496,-465,-1295,842,-362.9375,-465
38,2020-03-31,2020-03-04,-788,-1253,-1295,842,-362.9375,-798
